t,phi_model_real,phi_model_imag,phi_model_abs
31.96,2.713105745706438e-07,-8.265909014978181e-07,8.699781297899554e-07
31.97,2.926678894341973e-07,-8.144141837173935e-07,8.65404504348074e-07
31.98,3.130781331019243e-07,-8.021126500575048e-07,8.610473975391015e-07
31.99,3.3252776762481224e-07,-7.897228891699509e-07,8.568762792378347e-07
32.0,3.5100230659471714e-07,-7.772792072461664e-07,8.528573065009414e-07
32.01,3.6848630958954175e-07,-7.648133528527957e-07,8.489532525745187e-07
32.02,3.8496341465144015e-07,-7.523542202481988e-07,8.451234840810968e-07
32.03,4.0041641614844385e-07,-7.399275345392221e-07,8.413239938872869e-07
32.04,4.148273955615468e-07,-7.275555237513574e-07,8.375074974288219e-07
32.05,4.281779125991744e-07,-7.152565848394263e-07,8.336236003100833e-07
32.06,4.404492634827312e-07,-7.030449528033347e-07,8.296190447215659e-07
32.07,4.5162281217045167e-07,-6.909303843307781e-07,8.254380415659457e-07
32.08,4.616803986090485e-07,-6.789178696458095e-07,8.210226940738082e-07
32.09,4.7060482575705917e-07,-6.670073883643909e-07,8.163135170744861e-07
32.1,4.783804240693055e-07,-6.551937269616481e-07,8.112500539184101e-07
32.11,4.849936883784135e-07,-6.43466376728536e-07,8.057715903077299e-07
32.12,4.904339777204311e-07,-6.318095316207628e-07,7.998179610070856e-07
32.13,4.946942637640694e-07,-6.202022049291307e-07,7.933304416193986e-07
32.14,4.9777190832974e-07,-6.086184820273225e-07,7.862527134372722e-07
32.15,4.996694453224691e-07,-5.970279233942436e-07,7.785318849612434e-07
32.160000000000004,5.003953376264585e-07,-5.853961275638172e-07,7.701195492162306e-07
32.17,4.999646755439801e-07,-5.736854576228291e-07,7.609728517363232e-07
32.18,4.983997806743745e-07,-5.618559274868925e-07,7.510555403087183e-07
32.19,4.957306781709174e-07,-5.498662357018647e-07,7.403389645592999e-07
32.2,4.919954014812745e-07,-5.376749253770588e-07,7.288029915264799e-07
32.21,4.872400972556595e-07,-5.252416396202987e-07,7.164368027709941e-07
32.22,4.815189042228809e-07,-5.125284331993573e-07,7.032395395324356e-07
32.230000000000004,4.748935883971162e-07,-4.995010938400326e-07,6.892207651022121e-07
32.24,4.674329276799459e-07,-4.861304213295807e-07,6.744007179871038e-07
32.25,4.5921185120055727e-07,-4.723934100798215e-07,6.588103355062708e-07
32.26,4.5031035182355046e-07,-4.5827428151365984e-07,6.424910350007314e-07
32.27,4.408122032321003e-07,-4.4376531681770275e-07,6.25494248517646e-07
32.28,4.3080352483856573e-07,-4.288674482251102e-07,6.078807162268353e-07
32.29,4.2037124751817846e-07,-4.135905776956757e-07,5.897195534308086e-07
32.3,4.096015399304415e-07,-3.9795360499606393e-07,5.710871152834323e-07
32.31,3.9857825835358553e-07,-3.8198416183713287e-07,5.5206569167681e-07
32.32,3.8738148218072776e-07,-3.657180638205226e-07,5.327420716830701e-07
32.33,3.7608619251757136e-07,-3.4919850633863717e-07,5.13206022014063e-07
32.34,3.647611430516821e-07,-3.3247504317501494e-07,4.93548726889856e-07
32.35,3.5346796120775417e-07,-3.156023964412557e-07,4.7386123732568583e-07
32.36,3.42260504481948e-07,-2.9863915300867296e-07,4.5423297616748955e-07
32.37,3.311844828172787e-07,-2.816464053991534e-07,4.3475034138366423e-07
32.38,3.2027734402860526e-07,-2.646863941989362e-07,4.154954444660642e-07
32.39,3.0956840660153953e-07,-2.4782120476354565e-07,3.9654501370748734e-07
32.4,2.990792135035937e-07,-2.3111156387991745e-07,3.7796948409752517e-07
32.410000000000004,2.8882407253005746e-07,-2.1461577291221993e-07,3.598322871221501e-07
32.42,2.7881074346737323e-07,-1.98388803638304e-07,3.421893453657886e-07
32.43,2.690412300247134e-07,-1.8248157234178511e-07,3.25088768950176e-07
32.44,2.5951263484925424e-07,-1.6694039753610142e-07,3.085707438755559e-07
32.45,2.5021803860493775e-07,-1.5180663758972844e-07,2.9266759653163054e-07
32.46,2.4114736853932556e-07,-1.3711649694564682e-07,2.774040141888486e-07
32.47,2.32288227613336e-07,-1.229009838419906e-07,2.6279739823117396e-07
32.480000000000004,2.2362666155365012e-07,-1.091859985186609e-07,2.488583252176784e-07
32.49,2.151478475948984e-07,-9.599252875900362e-08,2.3559109045603949e-07
32.5,2.0683669478226057e-07,-8.333692906812789e-08,2.229943094676548e-07
32.51,1.9867835118607885e-07,-7.123126055757098e-08,2.1106155431683774e-07
32.52,1.9065861803215864e-07,-5.968367037752558e-08,1.9978200404357166e-07
32.53,1.8276427447003155e-07,-4.869879199730321e-08,1.891410911583034e-07
32.54,1.749833194703142e-07,-3.827815049066553e-08,1.7912112912170934e-07
32.55,1.6730513921430164e-07,-2.842055998313296e-08,1.6970190876142706e-07
32.56,1.5972060941297254e-07,-1.912250336043698e-08,1.6086125452084868e-07
32.57,1.5222214239735029e-07,-1.0378487074384033e-08,1.5257553417895133e-07
32.58,1.4480368869384165e-07,-2.181366314039951e-09,1.4482011814088207e-07
32.59,1.374607022776841e-07,5.477362116333708e-09,1.3756978653188192e-07
32.6,1.301900779047117e-07,1.2607300174334256e-08,1.3079908410428825e-07
32.61,1.2299006796975063e-07,1.9218921844188918e-08,1.244826243941576e-07
32.62,1.1586018531454814e-07,2.532337793089569e-08,1.1859534565467741e-07
32.63,1.0880109737866424e-07,3.093233033314659e-08,1.131127218779589e-07
32.64,1.0181451610370095e-07,3.6057813304935866e-08,1.0801093273259143e-07
32.65,9.490308709681119e-08,4.071211898154809e-08,1.032669965307051e-07
32.660000000000004,8.807028075401132e-08,4.490770437217719e-08,9.885887043694784e-08
32.67,8.13202873459988e-08,4.8657117068722e-08,9.47655220820058e-08
32.68,7.465791747932097e-08,5.197293705299099e-08,9.096697658086293e-08
32.69,6.808850885995491e-08,5.486773217317066e-08,8.74443427135166e-08
32.7,6.161783989435704e-08,5.735402508279874e-08,8.417982172970507e-08
32.71,5.525205035623512e-08,5.9444269671983215e-08,8.115670191304846e-08
32.72,4.899756911253436e-08,6.115083525925493e-08,7.835934170117892e-08
32.730000000000004,4.286104872921859e-08,6.248599704247824e-08,7.577314382128439e-08
32.74,3.684930665502834e-08,6.346193152325356e-08,7.33845225753935e-08
32.75,3.0969272599779416e-08,6.409071581688371e-08,7.118086610375007e-08
32.76,2.5227941674950005e-08,6.43843299374311e-08,6.915049517282335e-08
32.77,1.9632332839918205e-08,6.43546613042891e-08,6.7282619779012e-08
32.78,1.418945219204872e-08,6.401351085343578e-08,6.55672946314958e-08
32.79,8.906260647047715e-09,6.337260025424e-08,6.399537437734739e-08
32.8,3.78964557421849e-09,6.244357983277195e-08,6.255846925804658e-08
32.81,-1.1536040246056481e-09,6.123803688731276e-08,6.12489017375615e-08
32.82,-5.9168191752744056e-09,5.976750415200807e-08,6.00596645154899e-08
32.83,-1.0493469783451078e-08,5.8043468223041956e-08,5.898438023286743e-08
32.84,-1.487718100060607e-08,5.607737780964814e-08,5.801726309065958e-08
32.85,-1.9061747395557042e-08,5.388065171097937e-08,5.7153082529045525e-08
32.86,-2.3041145194321446e-08,5.146468645114534e-08,5.638712905779567e-08
