q_m_inv,power
-4.2796149575099352e+16,3.0304248718171412e-09
-4.2771122587043744e+16,3.4275337771054634e-09
-4.2746095598988128e+16,3.3896379220600451e-09
-4.2721068610932520e+16,3.9344524025488753e-09
-4.2696041622876904e+16,3.1501645755347582e-09
-4.2671014634821288e+16,2.1407273172053177e-09
-4.2645987646765680e+16,2.4864608672374534e-09
-4.2620960658710064e+16,1.0175631482061752e-09
-4.2595933670654448e+16,6.6636281565961770e-10
-4.2570906682598832e+16,8.4515225801755186e-11
-4.2545879694543224e+16,1.8968555911920753e-10
-4.2520852706487608e+16,3.6435295770667338e-10
-4.2495825718431992e+16,4.5079211817706886e-10
-4.2470798730376384e+16,1.3696023868011538e-09
-4.2445771742320768e+16,1.3087291257780269e-09
-4.2420744754265152e+16,3.3027712100033273e-09
-4.2395717766209536e+16,2.1942739703927179e-09
-4.2370690778153928e+16,3.8537731165716799e-09
-4.2345663790098312e+16,2.7662874491054774e-09
-4.2320636802042696e+16,3.8824137419175901e-09
-4.2295609813987080e+16,1.8729448586317540e-09
